id| productID| name| brand | company|Link|PETA (Cruelty Free)|Fair Trade (Worker Rights)|HRC (Gender Equality)| avgscore
18|1|Riders by Lee Indigo Women's Fringe Cuff Boyfriend Jean|Lee|Kontoor Brands Inc.|https://smile.amazon.com/Riders-Lee-Indigo-Womens-Boyfriend/dp/B0733S8PWS/ref=sr_1_52?dchild=1&keywords=jeans&qid=1588544894&sr=8-52|0|0|80|0
19|1|Women's Mid-Rise Skinny Jeans|Allee Jeans|Allee Incorporated|https://smile.amazon.com/All%C3%A9e-Jeans-Womens-Mid-Rise-Skinny/dp/B0828MZDP1/ref=sr_1_1_sspa?dchild=1&keywords=jeans+women%27s&qid=1588554166&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzU1ZVNEZHTjlENVMxJmVuY3J5cHRlZElkPUEwOTkxMjEyMzRYTlVPN0hST0UzMSZlbmNyeXB0ZWRBZElkPUEwMDc4NTg5MjVKVDBFNzlUMUcwQSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=|100|0|90|0
20|1|Ultra High Waisted Jeans for Women - Skinny Jeans - Stretchable Slim Fit Jeans|Moda Xpress|Moda Xpress, Inc|https://smile.amazon.com/dp/B07SW1N3TN?pd_rd_i=B07SW1N3TN&pd_rd_w=E9MPq&pf_rd_p=a5a2473c-04e3-4528-a4d4-06f356b68123&pd_rd_wg=2TcW4&pf_rd_r=DWRC6RWF502WMCXTS214&pd_rd_r=29dccec8-c449-463e-a6be-13ee3de1a026|0|0|100|0
21|2|Crest 3D White Toothpaste Radiant Mint (3 Count of 4.1 oz Tubes)- 12.3 oz Packaging May Vary|Crest|Proctor & Gamble|https://smile.amazon.com/Crest-White-Toothpaste-Radiant-Mint/dp/B01KZOTRG8/ref=sr_1_5?dchild=1&keywords=toothpaste&qid=1588554309&sr=8-5|0|0|10|0
22|2|Colgate Cavity Protection Toothpaste with Fluoride - 6 Ounce (6 Pack)|Colgate|Colgate-Palmolive|https://smile.amazon.com/Colgate-Cavity-Protection-Toothpaste-Fluoride/dp/B01BNEWDFQ/ref=sr_1_6?dchild=1&keywords=toothpaste&qid=1588554309&sr=8-6|0|0|20|0
23|2|Colgate Total Whitening Toothpaste - 4.8 ounce (2 Pack)|Colgate|Colgate-Palmolive|https://smile.amazon.com/Colgate-Total-Whitening-Toothpaste-ounce/dp/B07L5D13LL/ref=sr_1_7_mod_primary_new?dchild=1&keywords=toothpaste&qid=1588554309&sr=8-7|0|0|30|0
24|2|Crest Pro-Health Smooth Formula Toothpaste, Clean Mint, 4.6 oz, 3 Count|Crest|Proctor & Gamble|https://smile.amazon.com/Crest-Pro-Health-Smooth-Formula-Toothpaste/dp/B07NX7Q9NB/ref=sr_1_8?dchild=1&keywords=toothpaste&qid=1588554309&sr=8-8|0|0|40|0
25|2|Tom's of Maine Flouride-Free Antiplaque & Whitening Toothpaste|Tom's of Maine|Colgate-Palmolive|https://smile.amazon.com/Toms-Maine-Fluoride-Free-Antiplaque-Toothpaste/dp/B00JUJ1E0W/ref=sxin_9?ascsubtag=amzn1.osa.14102e9b-95de-4f36-b4e6-d4ea43f510e5.ATVPDKIKX0DER.en_US&creativeASIN=B00JUJ1E0W&cv_ct_cx=toothpaste&cv_ct_id=amzn1.osa.14102e9b-95de-4f36-b4e6-d4ea43f510e5.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_wn=osp-single-source&dchild=1&keywords=toothpaste&linkCode=oas&pd_rd_i=B00JUJ1E0W&pd_rd_r=82ef8f20-e888-45f4-a37e-d7f90234145c&pd_rd_w=0jvIL&pd_rd_wg=hALJ1&pf_rd_p=2cbead2a-6372-4074-8542-2ce826abf986&pf_rd_r=YJ28VYJ854RFZ17K8F77&qid=1588554309&sr=1-2-72d6bf18-a4db-4490-a794-9cd9552ac58d&tag=reviewscom07-20|100|100|50|0
26|2|Pronamel Intensive Enamel Repair toothpaste for Sensitive Teeth, Extra Fresh - 3.4 Ounces (Pack of 3)|Sensodyne|GlaxoSmithKline|https://smile.amazon.com/dp/B07SG3Y66Y?pd_rd_i=B07SG3Y66Y&pd_rd_w=h9TE6&pf_rd_p=a5a2473c-04e3-4528-a4d4-06f356b68123&pd_rd_wg=hALJ1&pf_rd_r=YJ28VYJ854RFZ17K8F77&pd_rd_r=82ef8f20-e888-45f4-a37e-d7f90234145c|0|0|60|0
27|2|Parodontax Toothpaste for Bleeding Gums, Gingivitis Treatment and Cavity Prevention, Clean Mint - 3.4 Ounces|Parodontax|GlaxoSmithKline|https://smile.amazon.com/Parodontax-Bleeding-Gingivitis-Toothpaste-Clean/dp/B01MUBCKFE/ref=sr_1_30?dchild=1&keywords=toothpaste&qid=1588554309&sr=8-30|0|0|70|0
